Time (sec),Rate μcal/sec
1535,-0.0019997912894570546
1536,-0.002054912078381164
1537,-0.0021100328673052727
1538,-0.002165153656229382
1539,-0.0022202744451534913
1540,-0.0022753952340776
1541,-0.0022519089726613446
1542,-0.0022156262146780666
1543,-0.0021793434566947886
1544,-0.0021430606987115105
1545,-0.002106777940728232
1546,-0.002070495182744954
1547,-0.0020203159487668814
1548,-0.001965254169169017
1549,-0.001910192389571152
1550,-0.0018551306099732873
1551,-0.0018000688303754224
1552,-0.0017450070507775577
1553,-0.0017290640629687838
1554,-0.0017315299183548708
1555,-0.0017339957737409575
1556,-0.0017364616291270446
1557,-0.0017389274845131314
1558,-0.0017413933398992183
1559,-0.0017061292804288228
1560,-0.0016412202878569259
1561,-0.001576311295285029
1562,-0.0015114023027131321
1563,-0.0014464933101412357
1564,-0.0013815843175693388
1565,-0.0013231995911161419
1566,-0.0012713391307816453
1567,-0.001219478670447149
1568,-0.0011676182101126521
1569,-0.0011157577497781556
1570,-0.001063897289443659
1571,-0.00102839802929664
1572,-0.0010195933589292035
1573,-0.001010788688561767
1574,-0.0010019840181943302
1575,-0.0009931793478268937
1576,-0.000984374677459457
1577,-0.0009695894835511983
1578,-0.0009420956771186892
1579,-0.0009146018706861803
1580,-0.0008871080642536711
1581,-0.000859614257821162
1582,-0.000832120451388653
1583,-0.0007875195353792772
1584,-0.0006942291536511244
1585,-0.0006009387719229714
1586,-0.0005076483901948186
1587,-0.0004143580084666657
1588,-0.0003210676267385129
1589,-0.000246074963493337
1590,-0.0002834825709294244
1591,-0.00032089017836551176
1592,-0.0003582977858015992
1593,-0.00039570539323768655
1594,-0.00043311300067377386
1595,-0.0004689714841339597
1596,-0.00048701504187126013
1597,-0.0005050585996085606
1598,-0.0005231021573458611
1599,-0.0005411457150831615
1600,-0.0005591892728204619
1601,-0.0005772328305577624
1602,-0.0004816345146688432
1603,-0.00038130112071216917
1604,-0.00028096772675549527
1605,-0.00018063433279882137
1606,-8.030093884214739e-05
1607,2.0032455114526595e-05
1608,0.00010238186687831175
1609,0.0001827330583984447
1610,0.0002630842499185776
1611,0.0003434354414387105
1612,0.0004237866329588435
1613,0.0005041378244789764
1614,0.0005330335255229536
1615,0.0005474161395095513
1640,-0.022852960914649677
1641,-0.020920644094101853
1642,-0.01898832727355402
1643,-0.017056010453006195
1644,-0.01577282564308786
1645,-0.015643653296511354
1646,-0.015514480949934848
1647,-0.015385308603358343
1648,-0.015256136256781835
1649,-0.01512696391020533
1650,-0.014823190631763463
1651,-0.013966514402414646
1652,-0.013109838173065831
1653,-0.012253161943717015
1654,-0.0113964857143682
1655,-0.010539809485019381
1656,-0.009683022498570722
1657,-0.00882573095200056
1658,-0.007968439405430397
1659,-0.007111147858860234
1660,-0.006253856312290071
1661,-0.005396564765719907
1662,-0.004618532506257966
1663,-0.004421735018922335
1664,-0.004224937531586703
1665,-0.004028140044251072
1666,-0.0038313425569154406
1667,-0.0036345450695798092
1668,-0.0036779119398468955
1669,-0.003319823719113153
1670,-0.0032018998559821283
1671,-0.0030839759928511035
1672,-0.002966052129720079
1673,-0.002848128266589054
1674,-0.002730204403458029
1675,-0.0028763813364803704
1676,-0.003039415767129507
1677,-0.0032024501977786423
1678,-0.0033654846284277783
1679,-0.003528519059076914
1680,-0.0036915534897260494
1681,-0.003611646404124556
1682,-0.003478410693004691
1683,-0.003345174981884826
1684,-0.0032119392707649604
1685,-0.003078703559645095
1686,-0.00294546784852523
1687,-0.0029786026931668246
1688,-0.003064275608048883
1689,-0.0031499485229309412
1690,-0.0032356214378129996
1691,-0.003321294352695058
1692,-0.003406967267577116
1693,-0.0033923753461911755
1694,-0.0033213844544044543
1695,-0.003250393562617733
1696,-0.003179402670831012
1697,-0.00310841177904429
1698,-0.003037420887257569
1699,-0.002989113020709145
1700,-0.002957230793126391
1701,-0.002925348565543636
1702,-0.002893466337960882
1703,-0.002861584110378127
1704,-0.0028297018827953724
1705,-0.0027486772583291737
1706,-0.002609963733173724
1707,-0.0024712502080182735
1708,-0.0023325366828628236
1709,-0.0021938231577073738
1710,-0.0020551096325519234
1711,-0.0019831857326640984
1712,-0.002011446270677674
1713,-0.002039706808691249
1714,-0.002067967346704824
1715,-0.0020962278847183997
1716,-0.0021244884227319748
1717,-0.0021450377132469283
1718,-0.002145758081622565
1719,-0.0021464784499982013
1720,-0.002147198818373838
1721,-0.002147919186749475
1722,-0.0021486395551251116
1723,-0.0021275867761859617
1724,-0.0020293382931307643
1725,-0.0019310898100755667
1726,-0.001832841327020369
1727,-0.0017345928439651717
1728,-0.0016363443609099739
1729,-0.0015583720930390248
1730,-0.001586849954885315
1731,-0.0016153278167316053
1732,-0.0016438056785778956
1733,-0.001672283540424186
1734,-0.0017007614022704761
1735,-0.0017264833503516223
1736,-0.0016860633680692418
1737,-0.0016456433857868615
1738,-0.001605223403504481
1739,-0.0015648034212221004
1740,-0.0015243834389397199
1741,-0.0014839634566573394
1742,-0.0013900992536985124
1743,-0.0012951443523585347
1744,-0.0012001894510185566
1745,-0.0011052345496785786
1746,-0.0010102796483386007
1747,-0.0009153247469986229
1748,-0.0008936172301955188
1749,-0.0008838337062239861
1750,-0.0008740501822524534
1751,-0.0008642666582809206
1752,-0.0008544831343093879
1753,-0.0008446996103378552
1754,-0.0008564228952058104
1755,-0.0008735228822836314
1756,-0.0008906228693614525
1757,-0.0009077228564392735
1758,-0.0009248228435170944
1759,-0.0009419228305949154
1760,-0.0008812515714163563
1761,-0.0007839820787053552
1762,-0.0006867125859943542
1763,-0.0005894430932833532
1764,-0.0004921736005723521
1765,-0.0003949041078613511
1766,-0.0003239231866592411
1767,-0.00026905461573678157
1768,-0.00021418604481432204
1769,-0.0001593174738918625
1770,-0.00010444890296940297
1771,-4.9580332046943445e-05
1772,-4.1823312364201876e-05
1773,-8.11778439211354e-05
1774,-0.0001205323754780689
1775,-0.0001598869070350024
1776,-0.00019924143859193592
1777,-0.00023859597014886942
1778,-0.0002454104403992002
1779,-0.00021081028716837114
1780,-0.00017621013393754212
1781,-0.00014160998070671308
1782,-0.00010700982747588404
1783,-7.2409674245055e-05
1784,-5.238456864376944e-05
1785,-6.333143925527283e-05
1786,-7.427830986677622e-05
1787,-8.522518047827962e-05
1788,-9.617205108978301e-05
1789,-0.0001071189217012864
1790,-0.00011079471813013898
1791,-9.3775918808369e-05
1792,-7.675711948659904e-05
1793,-5.973832016482906e-05
1794,-4.271952084305909e-05
1795,-2.5700721521289118e-05
1820,-0.01694018965724535
1821,-0.01649961199445758
1822,-0.016125671592833797
1823,-0.015751731191210015
1824,-0.01537779078958623
1825,-0.015003850387962448
1826,-0.014629909986338665
1827,-0.014192032786967993
1828,-0.01372929127736243
1829,-0.013266549767756862
1830,-0.012803808258151297
1831,-0.012341066748545732
1832,-0.011878325238940165
1833,-0.011367536577660568
1834,-0.010831996353397391
1835,-0.010296456129134213
1836,-0.009760915904871034
1837,-0.009225375680607856
1838,-0.008689835456344679
1839,-0.008188676622759423
1840,-0.007716805640492375
1841,-0.007244934658225326
1842,-0.006773063675958278
1843,-0.00630119269369123
1844,-0.005829321711424181
1845,-0.005221333511622911
1846,-0.004465884992826105
1847,-0.0037104364740293016
1848,-0.0029549879552324965
1849,-0.002199539436435692
1850,-0.0014440909176388875
1851,-0.0010434185299392417
1852,-0.001273459264189753
1853,-0.001503499998440264
1854,-0.0017335407326907754
1855,-0.0019635814669412867
1856,-0.002193622201191798
1857,-0.002385684608463384
1858,-0.0024891309194508904
1859,-0.002592577230438396
1860,-0.0026960235414259016
1861,-0.002799469852413408
1862,-0.002902916163400913
1863,-0.00297210897438608
1864,-0.0028852580631381955
1865,-0.002798407151890311
1866,-0.0027115562406424265
1867,-0.002624705329394542
1868,-0.002537854418146658
1869,-0.0024711496538503803
1870,-0.0025521833005327033
1871,-0.0026332169472150268
1872,-0.0027142505938973502
1873,-0.0027952842405796737
1874,-0.0028763178872619967
1875,-0.0029492607444415423
1876,-0.002895447899410779
1877,-0.002841635054380016
1878,-0.0027878222093492533
1879,-0.0027340093643184902
1880,-0.0026801965192877275
1881,-0.0026263836742569644
1882,-0.0025992903539147866
1883,-0.002573902535148474
1884,-0.0025485147163821615
1885,-0.002523126897615849
1886,-0.002497739078849537
1887,-0.0024723512600832243
1888,-0.002466705588513172
1889,-0.002463752027924424
1890,-0.002460798467335677
1891,-0.0024578449067469295
1892,-0.0024548913461581823
1893,-0.0024519377855694345
1894,-0.0024064132051669095
1895,-0.002347445144823174
1896,-0.0022884770844794383
1897,-0.0022295090241357027
1898,-0.002170540963791967
1899,-0.0021115729034482315
1900,-0.002015117374539525
1901,-0.0019025957876743886
1902,-0.001790074200809252
1903,-0.0016775526139441155
1904,-0.0015650310270789792
1905,-0.0014525094402138426
1906,-0.0014182465272795763
1907,-0.0014406536885710234
1908,-0.0014630608498624707
1909,-0.0014854680111539183
1910,-0.0015078751724453656
1911,-0.0015302823337368127
1912,-0.0015354202018065272
1913,-0.00152461718382541
1914,-0.0015138141658442926
1915,-0.0015030111478631753
1916,-0.001492208129882058
1917,-0.0014814051119009406
1918,-0.0014395424649060362
1919,-0.0013510903743904686
1920,-0.0012626382838749008
1921,-0.0011741861933593331
1922,-0.0010857341028437653
1923,-0.0009972820123281977
1924,-0.0009451767109574931
1925,-0.0009636269414561835
1926,-0.000982077171954874
1927,-0.0010005274024535644
1928,-0.0010189776329522545
1929,-0.001037427863450945
1930,-0.0010556886320862967
1931,-0.0010732776722970833
1932,-0.00109086671250787
1933,-0.0011084557527186564
1934,-0.0011260447929294431
1935,-0.0011436338331402298
1936,-0.001146847564221353
1937,-0.001074590922371662
1938,-0.001002334280521971
1939,-0.0009300776386722802
1940,-0.0008578209968225893
1941,-0.0007855643549728985
1942,-0.0007186499531497309
1943,-0.0006998157115653234
1944,-0.0006809814699809156
1945,-0.0006621472283965081
1946,-0.0006433129868121005
1947,-0.0006244787452276927
1948,-0.0006056445036432852
1949,-0.0005813736599385469
1950,-0.0005569918651701286
1951,-0.0005326100704017103
1952,-0.000508228275633292
1953,-0.0004838464808648736
1954,-0.00045946468609645523
1955,-0.0004155811160865161
1956,-0.0003700017395338272
1957,-0.0003244223629811383
1958,-0.0002788429864284494
1959,-0.00023326360987576048
1960,-0.00018768423332307158
1961,-0.00017370494936432885
1962,-0.0001676256885540637
1963,-0.00016154642774379854
1964,-0.00015546716693353333
1965,-0.00014938790612326817
1966,-0.000143308645313003
1967,-0.00010017170865290948
1968,-4.401450750505445e-05
1969,1.2142693642800579e-05
1970,6.829989479065564e-05
1971,0.00012445709593851065
1972,0.00018061429708636574
1973,0.0002788007147126989
1974,0.000402746974696821
1975,0.0005266932346809431
2000,-0.01606040226368039
2001,-0.0157747485929449
2002,-0.015489094922209408
2003,-0.01520550831238172
2004,-0.014930189946185269
2005,-0.014654871579988817
2006,-0.014379553213792366
2007,-0.014104234847595912
2008,-0.01382891648139946
2009,-0.013521004232718263
2010,-0.012838262335462121
2011,-0.01215552043820598
2012,-0.011472778540949836
2013,-0.010790036643693697
2014,-0.010107294746437555
2015,-0.009424173967827692
2016,-0.008722488002885522
2017,-0.00802080203794335
2018,-0.0073191160730011785
2019,-0.0066174301080590085
